Year,0,1,2,3,4,5,6,7,8,9,10,11,12
Words,Alzheimer's Disease,Cancer,Car Accidents,Diabetes,Heart Disease,Homicide,Kidney Disease,Lower Respiratory Disease,Overdose,Pneumonia & Influenza,Stroke,Suicide,Terrorism
2004,0.030356099,0.367609028,0.074389123,0.108748224,0.036030035,0.026437623,0.007225133,0.017586757,0.026436144,0.03214904,0.051003555,0.117916477,0.104112762
2005,0.028816864,0.380311456,0.076133444,0.109931001,0.034682939,0.021957544,0.006988744,0.018517184,0.0247294,0.036437039,0.054394824,0.123511184,0.083588377
2006,0.030126714,0.384416866,0.086764935,0.111267996,0.032962166,0.023101689,0.007890925,0.019558702,0.022863449,0.037633641,0.057472494,0.115508445,0.070431978
2007,0.02898052,0.384532576,0.093429737,0.108568815,0.030943607,0.02548297,0.008351813,0.021351591,0.021351591,0.0403792,0.057336683,0.118920527,0.06037037
2008,0.027964342,0.384946642,0.094379653,0.103992396,0.02972595,0.028806591,0.008656816,0.021421951,0.02010142,0.041890185,0.057919635,0.122274785,0.057919635
2009,0.025529375,0.381620141,0.102997823,0.101677339,0.027783956,0.030253641,0.008942297,0.020692919,0.02002779,0.046780778,0.058037597,0.125645223,0.050011121
2010,0.023736419,0.376199841,0.107485669,0.101663528,0.026385054,0.030468455,0.009399416,0.021581059,0.01834766,0.044440439,0.060622803,0.131611163,0.048058492
2011,0.02489991,0.369941515,0.113383517,0.098265715,0.024012637,0.036798586,0.009257271,0.022098001,0.016946778,0.049571192,0.0642416,0.125364675,0.045218602
2012,0.023740789,0.37402941,0.116464247,0.098098732,0.023876587,0.03518655,0.009551565,0.022186706,0.016320391,0.051518284,0.063461456,0.129750402,0.035814881
2013,0.021542687,0.377216844,0.117385661,0.097601561,0.02250951,0.034535138,0.009670003,0.021997412,0.01461573,0.050121621,0.063828335,0.124573176,0.04440232
2014,0.02114889,0.379816807,0.107470892,0.097112252,0.02209804,0.036628258,0.010507782,0.022754783,0.014348557,0.05108956,0.063569703,0.130469248,0.042985228
2015,0.021581751,0.364142991,0.104769589,0.090250957,0.020090291,0.036878068,0.010475449,0.022005031,0.012583715,0.050268978,0.061922129,0.122193002,0.082838048
2016,0.029242266,0.365528324,0.107349897,0.089265864,0.019969562,0.032113214,0.010788609,0.020737386,0.01266208,0.052198778,0.064496287,0.123595395,0.072052338
Average,0.025974356,0.37617788,0.100184937,0.101264952,0.02700541,0.030665256,0.009054294,0.020960729,0.018564208,0.044959903,0.059869777,0.123948746,0.06136955
