CDC,NYT,Guardian,Google
0.039483701279457224,0.01176019938692886,0.004669001953782449,0.025974356
0.3030658893368311,0.18936217269066188,0.13317989882191536,0.37617788
0.0618175024257611,0.02193008899634499,0.02503427310562411,0.100184937
0.03796115414516726,0.03183360827247218,0.020446215263114655,0.101264952
0.3323018077789819,0.03238903005015739,0.023142775824063336,0.02700541
0.008877590704713216,0.20848485035414147,0.2661064830877686,0.030665256
0.024824847021783794,0.002749659221763946,0.001243043224708309,0.009054294
0.07017863172430353,0.018644327108003726,0.015961196420811286,0.020960729
0.015286559947807313,0.00224840694406971,0.0014665916140442947,0.018564208
0.029995647216854892,0.040473199215476686,0.036920867907175074,0.044959903
0.05744023842999864,0.05271035832454829,0.058891588951116514,0.059869777
0.01868129782537596,0.09817565459474853,0.1248835639719894,0.123948746
8.513216296415657e-05,0.2892384448406825,0.28805449985388676,0.06136955
